Time,Voltage,Label
undefined,0.7092491416738897,sinewave
undefined,0.48977692794673433,sinewave
undefined,0.28093555035814133,sinewave
undefined,-0.039920316413802025,sinewave
undefined,-0.35435218390157286,sinewave
undefined,-0.6400752459751324,sinewave
undefined,-0.8397311217705908,sinewave
undefined,-0.971480155078808,sinewave
undefined,-1.0064218213128222,sinewave
undefined,-0.9552500747699779,sinewave
undefined,-0.8180422468846614,sinewave
undefined,-0.6237856740084778,sinewave
undefined,-0.3902904262291135,sinewave
undefined,-0.025531170399762396,sinewave
undefined,0.2598807142645574,sinewave
undefined,0.5122805441014321,sinewave
undefined,0.7873336645187315,sinewave
undefined,0.9292372018844443,sinewave
undefined,0.9346822303051755,sinewave
undefined,0.874718614629041,sinewave
undefined,0.712577888230981,sinewave
undefined,0.5533672126366029,sinewave
undefined,0.2993617963723302,sinewave
undefined,-0.08762219701810858,sinewave
undefined,-0.3098171984154092,sinewave
undefined,-0.6626638062418839,sinewave
undefined,-0.8751588153036389,sinewave
undefined,-0.9682885675540337,sinewave
undefined,-1.02187403080472,sinewave
undefined,-1.0280664906583306,sinewave
undefined,-0.8324237477470853,sinewave
undefined,-0.617376034306049,sinewave
undefined,-0.38496395358930113,sinewave
undefined,-0.03324848249070991,sinewave
undefined,0.2893685181858955,sinewave
undefined,0.5592420162667286,sinewave
undefined,0.7418990552050151,sinewave
undefined,0.932811286590009,sinewave
undefined,0.9918869189154239,sinewave
undefined,0.9246943418693229,sinewave
undefined,0.804533206810443,sinewave
undefined,0.5095091485389874,sinewave
undefined,0.2726964794034463,sinewave
undefined,-0.08081021729289765,sinewave
undefined,-0.31517202768653707,sinewave
undefined,-0.614191892224646,sinewave
undefined,-0.8658468028941366,sinewave
undefined,-1.040696885915204,sinewave
undefined,-1.0532744405966867,sinewave
undefined,-1.0398582460606483,sinewave
undefined,-0.8782139817546784,sinewave
undefined,-0.6871701642149578,sinewave
undefined,-0.40004464341582757,sinewave
undefined,-0.0634451831226072,sinewave
undefined,0.2902024010413553,sinewave
undefined,0.513877755537489,sinewave
undefined,0.71184013904467,sinewave
undefined,0.8733615338608299,sinewave
undefined,0.9774791475609795,sinewave
undefined,0.9325752162662638,sinewave
undefined,0.8010992443687143,sinewave
undefined,0.5650508486254922,sinewave
undefined,0.21855700639320322,sinewave
undefined,-0.047179134441786535,sinewave
undefined,-0.33338361908431347,sinewave
undefined,-0.5910100818256787,sinewave
undefined,-0.8234992311774062,sinewave
undefined,-0.9919443045123625,sinewave
undefined,-1.0165840435677742,sinewave
undefined,-0.9712676579166155,sinewave
undefined,-0.8720786575444899,sinewave
undefined,-0.6819418321417942,sinewave
undefined,-0.31054565474944273,sinewave
undefined,-0.0011281006039511876,sinewave
undefined,0.27585428924343125,sinewave
undefined,0.5079009067176183,sinewave
undefined,0.7750425398874887,sinewave
undefined,0.8744510727136281,sinewave
undefined,0.9155255878976812,sinewave
undefined,0.9219724497066352,sinewave
undefined,0.7606610941582131,sinewave
undefined,0.5225607765399398,sinewave
undefined,0.23432111654884027,sinewave
undefined,-0.08226338379770796,sinewave
undefined,-0.3687338384331954,sinewave
undefined,-0.6695638454272723,sinewave
undefined,-0.8780291591217413,sinewave
undefined,-1.0188700653192593,sinewave
undefined,-1.0020494591471412,sinewave
undefined,-0.9783954851342362,sinewave
undefined,-0.866744651030206,sinewave
undefined,-0.6395077349942371,sinewave
undefined,-0.36704530506030686,sinewave
undefined,-0.031429591801194354,sinewave
undefined,0.2728492226131768,sinewave
undefined,0.5193173415350517,sinewave
undefined,0.7677360738281794,sinewave
undefined,0.8630270583083652,sinewave
undefined,0.9162293151711184,sinewave
undefined,0.9316923258800144,sinewave
undefined,0.7966542642314862,sinewave
undefined,0.5019832579773019,sinewave
undefined,0.2800087422821299,sinewave
undefined,-0.004217298104494366,sinewave
undefined,-0.36638769070077115,sinewave
undefined,-0.6496026244325999,sinewave
undefined,-0.8650982716495514,sinewave
undefined,-1.030885039280631,sinewave
undefined,-1.0882990793220473,sinewave
undefined,-1.0107900467429252,sinewave
undefined,-0.8125887365786147,sinewave
undefined,-0.6707441564605465,sinewave
undefined,-0.3934682528038276,sinewave
undefined,-0.002600766497922277,sinewave
undefined,0.2794040080827118,sinewave
undefined,0.575754873392482,sinewave
undefined,0.7466549816118254,sinewave
undefined,0.9221440460182556,sinewave
undefined,0.921878396609794,sinewave
undefined,0.9307612927921755,sinewave
undefined,0.8080914539006256,sinewave
undefined,0.4918393842005012,sinewave
undefined,0.3085465234138429,sinewave
undefined,-0.09567856789884589,sinewave
undefined,-0.36449811214440764,sinewave
undefined,-0.6823655513635108,sinewave
undefined,-0.8340654915180146,sinewave
undefined,-1.0139734159157883,sinewave
undefined,-1.0150200936705127,sinewave
undefined,-1.039198999547307,sinewave
undefined,-0.8458917845708418,sinewave
undefined,-0.665978612484113,sinewave
undefined,-0.31125775443881676,sinewave
undefined,-0.0077979072183502335,sinewave
undefined,0.2910882482332068,sinewave
undefined,0.5240205536201612,sinewave
undefined,0.8047871803720492,sinewave
undefined,0.9429094108508175,sinewave
undefined,0.9422845655209754,sinewave
undefined,0.9199843433738831,sinewave
undefined,0.7346990457597654,sinewave
undefined,0.5789872144826024,sinewave
undefined,0.2745217606054078,sinewave
undefined,-0.032710827768835174,sinewave
undefined,-0.33307794957235026,sinewave
undefined,-0.6530721125828957,sinewave
undefined,-0.8522554667565828,sinewave
undefined,-1.0027492441449455,sinewave
undefined,-1.0206343039039067,sinewave
undefined,-0.9809694528000622,sinewave
undefined,-0.8092768881778302,sinewave
undefined,-0.6519021582994726,sinewave
undefined,-0.33134837063865386,sinewave
undefined,-0.031115851673643224,sinewave
undefined,0.2601463588021865,sinewave
undefined,0.48861938579493136,sinewave
undefined,0.8009226290159227,sinewave
undefined,0.9101126611683793,sinewave
undefined,0.936710359229426,sinewave
undefined,0.8718076111035449,sinewave
undefined,0.730789693402679,sinewave
undefined,0.5156747814319759,sinewave
undefined,0.23522147552771658,sinewave
undefined,-0.07110232945803698,sinewave
undefined,-0.3238332807434434,sinewave
undefined,-0.679061414887721,sinewave
undefined,-0.827649118923813,sinewave
undefined,-1.0469579602720613,sinewave
undefined,-1.0908131026794627,sinewave
undefined,-0.9748668091248347,sinewave
undefined,-0.9048367433951056,sinewave
undefined,-0.6834770433413078,sinewave
undefined,-0.3317541902536545,sinewave
undefined,-0.09869379039922731,sinewave
undefined,0.25261660780778505,sinewave
undefined,0.5174278598974098,sinewave
undefined,0.7751991017170354,sinewave
undefined,0.890584194747273,sinewave
undefined,0.9967304737311363,sinewave
undefined,0.874119993126184,sinewave
undefined,0.8052676742218855,sinewave
undefined,0.5303927698560573,sinewave
undefined,0.3052489368677227,sinewave
undefined,-0.02752328949209719,sinewave
undefined,-0.33617084445748513,sinewave
undefined,-0.6811710551027443,sinewave
undefined,-0.8598083194494853,sinewave
undefined,-0.9960334077887063,sinewave
undefined,-1.0390964219908425,sinewave
undefined,-1.0161920392991697,sinewave
undefined,-0.8450412265170896,sinewave
undefined,-0.6179426838663133,sinewave
undefined,-0.37204834223185057,sinewave
undefined,-0.04835243931294604,sinewave
undefined,0.2545831917756485,sinewave
