sample,voltage,label
21715,0.9523483534347645,squarewave
21716,-0.981558947,squarewave
21717,-0.963570602,squarewave
21718,-1.041842266,squarewave
21719,-0.95643224,squarewave
21720,1.0381347916973107,squarewave
21721,0.9987026656496658,squarewave
21722,0.9519496392865769,squarewave
21723,0.958542666,squarewave
21724,1.0346263297233347,squarewave
21725,1.0134178455963863,squarewave
21726,-1.037412469,squarewave
21727,-0.984327484,squarewave
21728,-0.978076124,squarewave
21729,-0.987811547,squarewave
21730,-1.029099588,squarewave
21731,1.0050591228249357,squarewave
21732,1.0290555852793095,squarewave
21733,1.0381154490099467,squarewave
21734,0.9996340103716445,squarewave
21735,0.9941060965885807,squarewave
21736,-0.971746043,squarewave
21737,-1.046245658,squarewave
21738,-1.045450853,squarewave
21739,-1.017955045,squarewave
21740,-1.029853844,squarewave
21741,0.9764010588292302,squarewave
21742,0.980975554,squarewave
21743,0.9569736837863768,squarewave
21744,1.0449565563747218,squarewave
21745,-1.005861593,squarewave
21746,-0.97341428,squarewave
21747,-1.016660377,squarewave
21748,-1.001862962,squarewave
21749,-1.03425801,squarewave
21750,-1.044976994,squarewave
21751,0.9935804926855158,squarewave
21752,1.0415797019698576,squarewave
21753,0.9779297672040624,squarewave
21754,1.0041365164693818,squarewave
21755,0.9770063269069998,squarewave
21756,-0.956485156,squarewave
21757,-0.990214999,squarewave
21758,-0.960535346,squarewave
21759,-0.992022787,squarewave
21760,-1.04676959,squarewave
21761,0.9712729570390831,squarewave
21762,0.9949835539176138,squarewave
21763,1.0012528570624486,squarewave
21764,0.9829832817394473,squarewave
21765,0.9676235254250728,squarewave
21766,-1.019438553,squarewave
21767,-1.017563419,squarewave
21768,-0.951775405,squarewave
21769,-1.028820191,squarewave
21770,1.0464359563004713,squarewave
21771,0.999063717,squarewave
21772,0.9578127939542294,squarewave
21773,1.0098213363739952,squarewave
21774,1.0184946674817397,squarewave
21775,0.9758996768276684,squarewave
21776,-1.04818788,squarewave
21777,-1.030834867,squarewave
21778,-1.049286501,squarewave
21779,-0.976129374,squarewave
21780,-0.974289478,squarewave
21781,1.0004826773903548,squarewave
21782,1.0475003636291087,squarewave
21783,0.9890819326323768,squarewave
21784,1.0085403514531006,squarewave
21785,1.0481065846624162,squarewave
21786,-0.952339966,squarewave
21787,-1.030548445,squarewave
21788,-0.956032544,squarewave
21789,-0.994076944,squarewave
21790,-1.001124103,squarewave
21791,0.988676091,squarewave
21792,1.0370385726557525,squarewave
21793,0.976146589,squarewave
21794,0.9666903666143677,squarewave
21795,-1.012201682,squarewave
21796,-1.027884292,squarewave
21797,-0.954774152,squarewave
21798,-0.98913638,squarewave
21799,-1.020943474,squarewave
21800,-0.964154793,squarewave
21801,0.9554304344331275,squarewave
21802,1.0099772552998312,squarewave
21803,1.0411688296848018,squarewave
21804,0.979290194,squarewave
21805,1.046099144077975,squarewave
21806,-1.046090424,squarewave
21807,-0.958504914,squarewave
21808,-1.03980177,squarewave
21809,-1.038493649,squarewave
21810,-0.987806828,squarewave
21811,1.021821202654933,squarewave
21812,1.0375405669803919,squarewave
21813,0.992034487,squarewave
21814,0.9540833280438045,squarewave
21815,0.9500443753220315,squarewave
21816,-1.030576527,squarewave
21817,-0.994194672,squarewave
21818,-1.027228602,squarewave
21819,-0.987977607,squarewave
21820,1.0043372337826901,squarewave
21821,0.9956163891038435,squarewave
21822,1.0251125994854373,squarewave
21823,1.0053476408647315,squarewave
21824,1.0108882758959796,squarewave
21825,0.9846946344811357,squarewave
21826,-0.979219303,squarewave
21827,-0.964706656,squarewave
21828,-0.988447001,squarewave
21829,-0.985780902,squarewave
21830,-1.003011177,squarewave
21831,1.0052211784971483,squarewave
21832,1.007627696111658,squarewave
21833,0.9693270579479789,squarewave
21834,1.017152146760636,squarewave
21835,0.9834831076424976,squarewave
21836,-1.029109219,squarewave
21837,-1.012365298,squarewave
21838,-0.999015373,squarewave
21839,-1.011723039,squarewave
21840,-1.013159599,squarewave
21841,1.0309028373528313,squarewave
21842,1.0487975661658975,squarewave
21843,1.0341937959474794,squarewave
21844,0.9785814680013485,squarewave
21845,-1.029507865,squarewave
21846,-1.044943925,squarewave
21847,-0.984304329,squarewave
21848,-0.981603408,squarewave
21849,-0.977457662,squarewave
21850,-1.023257926,squarewave
21851,0.9589720499567138,squarewave
21852,1.0274336605833678,squarewave
21853,1.038531234253901,squarewave
21854,0.9571315635634462,squarewave
21855,1.0113523935948636,squarewave
21856,-1.03820851,squarewave
21857,-1.007661934,squarewave
21858,-1.011651111,squarewave
21859,-0.988555247,squarewave
21860,-0.966036093,squarewave
21861,1.0329511886877762,squarewave
21862,0.963839274,squarewave
21863,0.9744602693632947,squarewave
21864,0.9738102822018236,squarewave
21865,1.0350232542235687,squarewave
21866,-0.966889047,squarewave
21867,-0.983098161,squarewave
21868,-0.994166888,squarewave
21869,-1.023827622,squarewave
21870,0.9640245031053009,squarewave
21871,0.97450025,squarewave
21872,1.0219384818268364,squarewave
21873,0.9776185611068734,squarewave
21874,1.0211166218731715,squarewave
21875,0.9580328426861187,squarewave
21876,-0.988608478,squarewave
21877,-0.96017379,squarewave
21878,-0.974785869,squarewave
21879,-0.976153707,squarewave
21880,-0.953491282,squarewave
21881,0.975862644,squarewave
21882,0.9929425827567969,squarewave
21883,1.0348345070363851,squarewave
21884,1.0274698918161183,squarewave
21885,0.9742636795251004,squarewave
21886,-1.000988132,squarewave
21887,-0.980494013,squarewave
21888,-0.984432864,squarewave
21889,-1.005010773,squarewave
21890,-1.020890799,squarewave
21891,0.974792742,squarewave
21892,1.0390065320324455,squarewave
21893,0.9872326472395864,squarewave
21894,0.9708278017643047,squarewave
21895,-0.971913656,squarewave
21896,-1.031478356,squarewave
21897,-0.997862871,squarewave
21898,-0.996565931,squarewave
21899,-1.021860674,squarewave
21900,-1.003986745,squarewave
21901,1.0193060721850444,squarewave
21902,0.9858303548812833,squarewave
21903,0.9585838724399803,squarewave
21904,0.9597994793778571,squarewave
21905,1.0461359775788666,squarewave
21906,-1.043690268,squarewave
21907,-1.009721263,squarewave
21908,-0.958064383,squarewave
21909,-0.99541014,squarewave
21910,-0.980064489,squarewave
21911,1.044844717398546,squarewave
21912,1.0022793587524712,squarewave
21913,1.000469648158706,squarewave
21914,1.0089336565006632,squarewave
21915,0.9619897475979413,squarewave
21916,-0.980709226,squarewave
21917,-0.97615364,squarewave
21918,-1.046426941,squarewave
21919,-1.020301242,squarewave
21920,0.996626415,squarewave
21921,0.9527412998157526,squarewave
21922,0.9855185563087882,squarewave
21923,1.030834089099347,squarewave
21924,1.0121863670674442,squarewave
21925,1.0247017949696597,squarewave
21926,-1.010335691,squarewave
21927,-1.01352559,squarewave
21928,-1.005736456,squarewave
21929,-1.043997438,squarewave
21930,-1.001789002,squarewave
21931,0.9664293395379584,squarewave
21932,1.033489948593715,squarewave
21933,0.9896946229570924,squarewave
21934,0.9628217639596225,squarewave
21935,1.0204052185097954,squarewave
21936,-0.995560242,squarewave
21937,-0.966045461,squarewave
21938,-0.985380055,squarewave
21939,-0.985073125,squarewave
21940,-0.972326843,squarewave
21941,1.041633402483705,squarewave
21942,0.9692075331583896,squarewave
21943,0.9784617044008305,squarewave
21944,0.9577093392835289,squarewave
21945,-0.96605689,squarewave
21946,-1.034106396,squarewave
21947,-1.021861868,squarewave
21948,-1.019543197,squarewave
21949,-0.953017967,squarewave
21950,-1.002816099,squarewave
21951,0.9904683872131053,squarewave
21952,1.0424340158275798,squarewave
21953,0.9707197177770628,squarewave
21954,0.9541173494276578,squarewave
21955,0.9757161369894223,squarewave
21956,-1.036865767,squarewave
21957,-1.048604276,squarewave
21958,-1.029956594,squarewave
21959,-1.002376114,squarewave
21960,-0.972145988,squarewave
21961,1.0054993339461502,squarewave
21962,1.0006329717808524,squarewave
21963,1.0019545204964568,squarewave
21964,1.0294946860095138,squarewave
21965,1.0141417867732392,squarewave
21966,-0.981209988,squarewave
21967,-1.048251886,squarewave
21968,-0.987450341,squarewave
21969,-1.025120835,squarewave
21970,0.9604014565370089,squarewave
21971,0.9602641809669283,squarewave
21972,0.9544876422310565,squarewave
21973,1.0092227557342692,squarewave
21974,0.9708297575965139,squarewave
21975,0.9760208970639044,squarewave
21976,-1.033274267,squarewave
21977,-1.0148659,squarewave
21978,-0.988913261,squarewave
21979,-1.03641392,squarewave
21980,-0.959784049,squarewave
21981,1.0439977568709842,squarewave
21982,0.969736215,squarewave
21983,0.9647518783848562,squarewave
21984,0.9895768689925897,squarewave
21985,0.9972242811260624,squarewave
21986,-1.015691596,squarewave
21987,-1.048962852,squarewave
21988,-0.976053469,squarewave
21989,-1.040945731,squarewave
21990,-1.010173109,squarewave
21991,1.0163491470201096,squarewave
21992,0.9825724386203178,squarewave
21993,1.0293529896897575,squarewave
21994,0.9930060149773776,squarewave
21995,-1.010863406,squarewave
21996,-0.9844375,squarewave
21997,-1.029494024,squarewave
21998,-1.031761571,squarewave
21999,-0.954781825,squarewave
22000,-1.013000844,squarewave
22001,0.9650644081499185,squarewave
22002,1.021865674995621,squarewave
22003,1.0071488156069395,squarewave
22004,1.007201998280631,squarewave
22005,0.9812669095770898,squarewave
22006,-0.980938259,squarewave
22007,-0.991220275,squarewave
22008,-0.998835903,squarewave
22009,-0.989534065,squarewave
22010,-0.99686431,squarewave
22011,0.9516431071707023,squarewave
22012,0.982500298,squarewave
