sample,voltage
17711,0.6442318581048201
17712,0.6538286983391103
17713,0.6835657288878948
17714,0.78645579364979
17715,0.8007589439328429
17716,0.886641371625557
17717,0.9227265037511101
17718,0.8632470768808949
17719,0.8829492588025855
17720,0.9575961026464137
17721,0.9907231372309222
17722,0.9826924129352137
17723,0.9525271974509179
17724,1.0063592067842921
17725,1.040654219007543
17726,0.9550863779113969
17727,0.9540318417088196
17728,0.9524610125837031
17729,0.9288136255402374
17730,0.9957359064314155
17731,0.9152658119130533
17732,0.9281246248192028
17733,0.8863901181502284
17734,0.8439223347297349
17735,0.8028930531006595
17736,0.7899861172610211
17737,0.7079967409017411
17738,0.6509435751094547
17739,0.6231680324717884
17740,0.6178203554241046
17741,0.5257216255732098
17742,0.5038810288373974
17743,0.43807735914241885
17744,0.3264638189238651
17745,0.2996297818511832
17746,0.2357890082385491
17747,0.16349173309377946
17748,0.124224976102596
17749,0.04188108639818913
17750,-0.03790650180433962
17751,-0.08532534751636534
17752,-0.12480436395930618
17753,-0.14315848089701505
17754,-0.29151409122355537
17755,-0.28706735028961405
17756,-0.3537452545266029
17757,-0.42864744846284303
17758,-0.46427880758193324
17759,-0.5131028656084258
17760,-0.6154756123862284
17761,-0.5942193123517195
17762,-0.7198007028495197
17763,-0.7165970284204475
17764,-0.7423576887485626
17765,-0.8192881295209051
17766,-0.8631089901342041
17767,-0.9219668995521796
17768,-0.9524583093015291
17769,-0.959965363960744
17770,-0.9908967465197772
17771,-1.0131922369404445
17772,-0.935189797553487
17773,-1.0158711064482446
17774,-0.964292213873321
17775,-1.0115926492636769
17776,-0.9975746702242497
17777,-1.0109887217450628
17778,-0.9727151240731221
17779,-1.0068416733491454
17780,-0.9567152854832127
17781,-0.9662705430102597
17782,-0.9311467753991063
17783,-0.909538851215275
17784,-0.8918190875952419
17785,-0.8284566320527891
17786,-0.7350610257309393
17787,-0.7302327502120258
17788,-0.6732415542855198
17789,-0.6770623944239775
17790,-0.6049850313085069
17791,-0.5144763468109785
17792,-0.4375347826487931
17793,-0.39442486368610036
17794,-0.3509952169566917
17795,-0.2628332451592895
17796,-0.2503585712152286
17797,-0.15049701868773552
17798,-0.16939434132081385
17799,-0.06615391061577516
17800,0.030753594789929818
17801,0.025932222742206773
17802,0.1382437333630256
17803,0.20855214079227055
17804,0.295908041083523
17805,0.3058988072137993
17806,0.3419037063892154
17807,0.3813560830849957
17808,0.4786525274383232
17809,0.5430981762997131
17810,0.6088588889577761
17811,0.6229957873228791
17812,0.6764852787161599
17813,0.7517025357382645
17814,0.7225560327302585
17815,0.829423471036306
17816,0.8225322327148888
17817,0.8561684056280318
17818,0.8548694463698578
17819,0.9352457650277355
17820,0.9142588711745075
17821,0.9496267572839432
17822,0.945975123847863
17823,0.9762936271730445
17824,0.961160495144123
17825,1.0082381650682484
17826,1.0155909809619152
17827,1.01675837400285
17828,0.9480808387782111
17829,0.9608783468648735
17830,0.9646822766735803
17831,0.9477839309216018
17832,0.855393929928571
17833,0.8964122277886053
17834,0.8870593235949258
17835,0.817615331366132
17836,0.724076535828772
17837,0.6983105802245865
17838,0.6743275721594978
17839,0.6800229159662252
17840,0.572373819133516
17841,0.5132009129678269
17842,0.5283489647832467
17843,0.44536018190356097
17844,0.32950707521317735
17845,0.3014668173046588
17846,0.24478627234552908
17847,0.2097569328720845
17848,0.09334323737526862
17849,0.03974834735633809
17850,0.00358002177991421
17851,-0.062112937777006924
17852,-0.15271153723341827
17853,-0.20948765871564923
17854,-0.2794932206589345
17855,-0.3518573753996501
17856,-0.4151854017646496
17857,-0.4155021671524078
17858,-0.49048650328932314
17859,-0.5577570133492237
17860,-0.6081384690000771
17861,-0.6058242998671615
17862,-0.6469052556118787
17863,-0.7538833782720186
17864,-0.7928187257904505
17865,-0.801639578606566
17866,-0.8267883121442774
17867,-0.8940178677216983
17868,-0.8864204415606675
17869,-0.9708765651315473
17870,-0.996191069920245
17871,-0.999434301480648
17872,-1.0177331430461352
17873,-0.9961103170319664
